frame,seconds,target_polarity,predicted_polarity,polarity_correct,effective_gate,nearest_anchor_seconds,teacher_error,teacher_iou,rollout_error,rollout_iou,oracle_polarity_rollout_error
0,0.0,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
1,0.03333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
2,0.06666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
3,0.1,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
4,0.13333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
5,0.16666666666666666,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
6,0.2,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
7,0.23333333333333334,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
8,0.26666666666666666,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
9,0.3,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
10,0.3333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
11,0.36666666666666664,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
12,0.4,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
13,0.43333333333333335,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
14,0.4666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
15,0.5,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
16,0.5333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
17,0.5666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
18,0.6,0,0,1,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
19,0.6333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.038874308268229164,0.48056284586588544,0.038874308268229164
20,0.6666666666666666,0,0,1,0.0,-1.0,0.0,1.0,0.142669677734375,0.4286651611328125,0.142669677734375
21,0.7,0,0,1,0.0,-1.0,0.0,1.0,0.2788187662760417,0.3605906168619792,0.2788187662760417
22,0.7333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.3099873860677083,0.3450063069661458,0.3099873860677083
23,0.7666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.240478515625,0.3797607421875,0.240478515625
24,0.8,0,0,1,0.0,-1.0,0.0,1.0,0.20125834147135416,0.39937082926432294,0.20125834147135416
25,0.8333333333333334,0,0,1,0.0,-1.0,0.0,1.0,0.14742533365885416,0.42628733317057294,0.14742533365885416
26,0.8666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.10138448079427083,0.44930775960286456,0.10138448079427083
27,0.9,0,0,1,0.0,-1.0,0.0,1.0,0.12276713053385417,0.43861643473307294,0.12276713053385417
28,0.9333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.1418914794921875,0.42905426025390625,0.1418914794921875
29,0.9666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.1637725830078125,0.41811370849609375,0.1637725830078125
30,1.0,0,0,1,0.0,-1.0,0.0,1.0,0.17372639973958334,0.4131368001302083,0.17372639973958334
31,1.0333333333333334,0,0,1,0.0,-1.0,0.0,1.0,0.1769256591796875,0.41153717041015625,0.1769256591796875
32,1.0666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.1746826171875,0.41265869140625,0.1746826171875
33,1.1,0,0,1,0.0,-1.0,0.0,1.0,0.17425537109375,0.412872314453125,0.17425537109375
34,1.1333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.1764678955078125,0.41176605224609375,0.1764678955078125
35,1.1666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.1655731201171875,0.41721343994140625,0.1655731201171875
36,1.2,0,0,1,0.0,-1.0,0.0,1.0,0.14800516764322916,0.42599741617838544,0.14800516764322916
37,1.2333333333333334,0,0,1,0.0,-1.0,0.0,1.0,0.12866719563802084,0.43566640218098956,0.12866719563802084
38,1.2666666666666666,0,0,1,0.0,-1.0,0.0,1.0,0.12436930338541667,0.4378153483072917,0.12436930338541667
39,1.3,0,0,1,0.0,-1.0,0.0,1.0,0.13525899251302084,0.43237050374348956,0.13525899251302084
40,1.3333333333333333,0,0,1,0.0,-1.0,0.0,1.0,0.15610249837239584,0.42194875081380206,0.15610249837239584
41,1.3666666666666667,0,0,1,0.0,-1.0,0.0,1.0,0.18119303385416666,0.4094034830729167,0.18119303385416666
42,1.4,0,0,1,0.0,-1.0,0.0,1.0,0.1974945068359375,0.40125274658203125,0.1974945068359375
43,1.4333333333333333,0,0,1,0.0,-1.0,0.0007883707682291666,0.49960581461588544,0.21844482421875,0.390777587890625,0.21844482421875
44,1.4666666666666666,0,0,1,0.0,-1.0,0.023712158203125,0.5061234932999298,0.2557779947916667,0.3721110026041667,0.2557779947916667
45,1.5,0,0,1,0.0,-1.0,0.0226898193359375,0.7472107045497872,0.2870737711588542,0.35646311442057294,0.2870737711588542
46,1.5333333333333334,0,0,1,0.0,-1.0,0.035573323567708336,0.7255675429128714,0.301727294921875,0.3491363525390625,0.301727294921875
47,1.5666666666666667,0,0,1,0.0,-1.0,0.051111857096354164,0.6582645499480222,0.3027191162109375,0.34864044189453125,0.3027191162109375
48,1.6,0,0,1,0.0,-1.0,0.0526275634765625,0.6548133687503,0.3117523193359375,0.34412384033203125,0.3117523193359375
49,1.6333333333333333,0,0,1,0.0,-1.0,0.0908050537109375,0.5354206191853861,0.3303731282552083,0.3348134358723958,0.3303731282552083
50,1.6666666666666667,0,0,1,0.0,-1.0,0.116058349609375,0.617544966122857,0.4433644612630208,0.27831776936848956,0.4433644612630208
51,1.7,0,0,1,0.0,-1.0,0.0732879638671875,0.809809357645167,0.516387939453125,0.241856581919416,0.516387939453125
52,1.7333333333333334,0,0,1,0.0,-1.0,0.048746744791666664,0.8864272798338433,0.564727783203125,0.21982873239023867,0.564727783203125
53,1.7666666666666666,0,0,1,0.0,-1.0,0.033833821614583336,0.924293181252416,0.5799713134765625,0.21568557337608601,0.5799713134765625
54,1.8,0,0,1,0.0,-1.0,0.0313873291015625,0.9297074450809452,0.5788523356119791,0.21697656286692657,0.5788523356119791
55,1.8333333333333333,0,0,1,0.0,-1.0,0.035863240559895836,0.9168843399833209,0.5650634765625,0.22269639872010508,0.5650634765625
56,1.8666666666666667,0,0,1,0.0,-1.0,0.037495930989583336,0.9069053379590879,0.5446573893229166,0.23113092741073857,0.5446573893229166
57,1.9,0,0,1,0.0,-1.0,0.035649617513020836,0.902915220940744,0.5253346761067709,0.23965359891637347,0.5253346761067709
58,1.9333333333333333,0,0,1,0.0,-1.0,0.030705769856770832,0.9076152397708503,0.5225880940755209,0.2404855609542423,0.5225880940755209
59,1.9666666666666666,0,0,1,0.0,-1.0,0.023712158203125,0.9229244715835123,0.5412343343098959,0.23096580735007174,0.5412343343098959
60,2.0,0,0,1,0.0,-1.0,0.025370279947916668,0.9148065189526343,0.5689595540364584,0.21724278016670612,0.5689595540364584
61,2.033333333333333,0,0,1,0.0,-1.0,0.044169108072916664,0.861627363557103,0.6326802571614584,0.18715333902587922,0.6326802571614584
62,2.066666666666667,0,0,1,0.0,-1.0,0.049601236979166664,0.8596626838719793,0.6998240152994791,0.15969795907399678,0.6998240152994791
63,2.1,0,0,1,0.0,-1.0,0.047393798828125,0.8765301772605492,0.7158559163411459,0.16022891201222797,0.7158559163411459
64,2.1333333333333333,0,0,1,0.0,-1.0,0.048146565755208336,0.8827126517826489,0.7239888509114584,0.15968822526758697,0.7239888509114584
65,2.1666666666666665,0,0,1,0.0,-1.0,0.044672648111979164,0.8961735942280914,0.71636962890625,0.16461976390915117,0.71636962890625
66,2.2,0,0,1,0.0,-1.0,0.039276123046875,0.9117800540064059,0.7064717610677084,0.1679510253482996,0.7064717610677084
67,2.2333333333333334,0,0,1,0.0,-1.0,0.0380401611328125,0.9169967649174312,0.7060546875,0.16395705272219036,0.7060546875
68,2.2666666666666666,0,0,1,0.0,-1.0,0.036916097005208336,0.9212284465005242,0.69659423828125,0.165654841323232,0.69659423828125
69,2.3,0,0,1,0.0,-1.0,0.034108479817708336,0.9284182895131428,0.6689453125,0.18117073098173755,0.6689453125
70,2.3333333333333335,0,0,1,0.0,-1.0,0.034215291341145836,0.9294765820301782,0.6333872477213541,0.20540620297081835,0.6333872477213541
71,2.3666666666666667,0,0,1,0.0,-1.0,0.032536824544270836,0.9337627195792958,0.6179046630859375,0.21555590606205866,0.6179046630859375
72,2.4,0,0,1,0.0,-1.0,0.032750447591145836,0.9341934885488086,0.6181742350260416,0.2077683643453728,0.6181742350260416
