model,heads_and_gates,anchors,temporal_unet,time_features,predictor_total,shared_polarity_extra_parameters,frozen_autoencoder,system_total
0,9798,0,116256,7136,133190,0,167665,300855
16,9798,786432,116256,7136,919622,0,167665,1087287
32,9798,1572864,116256,7136,1706054,0,167665,1873719
55,9798,2703360,116256,7136,2836550,0,167665,3004215
110,9798,5406720,116256,7136,5539910,0,167665,5707575
220,9798,10813440,116256,7136,10946630,0,167665,11114295
